category,subject,priority,action,reason,exact_name_matches,reference_url,scope
creatures,Displacer Beast,A,new subject candidate,No matching subject name or confirmed alias in the current queue.,,https://www.dndbeyond.com/monsters/17130-displacer-beast,universal across editions; exclude setting-specific and third-party variants
creatures,Intellect Devourer,A,new subject candidate,No matching subject name or confirmed alias in the current queue.,,https://www.dndbeyond.com/monsters/17163-intellect-devourer,universal across editions; exclude setting-specific and third-party variants
creatures,Nothic,A,new subject candidate,No matching subject name or confirmed alias in the current queue.,,https://www.dndbeyond.com/monsters/17092-nothic,universal across editions; exclude setting-specific and third-party variants
creatures,Myconid Adult,A,new subject candidate,No matching subject name or confirmed alias in the current queue.,,https://www.dndbeyond.com/monsters/17183-myconid-adult,universal across editions; exclude setting-specific and third-party variants
creatures,Flumph,A,new subject candidate,No matching subject name or confirmed alias in the current queue.,,https://www.dndbeyond.com/monsters/17145-flumph,universal across editions; exclude setting-specific and third-party variants
creatures,Kuo-toa,A,base creature mapping or new art,"Only Archpriest, Monitor and Whip represented. Fable should decide whether existing art also represents the base creature.",,https://www.dndbeyond.com/monsters/17166-kuo-toa,universal across editions; exclude setting-specific and third-party variants
creatures,Quaggoth,A,base creature mapping or new art,Only Thonot represented. Fable should decide whether existing art also represents the base creature.,,https://www.dndbeyond.com/monsters/17193-quaggoth,universal across editions; exclude setting-specific and third-party variants
creatures,Mind Flayer,A,base creature mapping or new art,Only Mindflayer Arcanist represented. Fable should decide whether existing art also represents the base creature.,,https://www.dndbeyond.com/monsters/17104-mind-flayer,universal across editions; exclude setting-specific and third-party variants
creatures,Beholder,A,identity mapping first,"Possible renamed counterpart: Gazer JOB-0049. This is a hypothesis, not an established alias. Review its anatomy before sharing art.",,https://www.dndbeyond.com/monsters/17099-beholder,universal across editions; exclude setting-specific and third-party variants
creatures,Carrion Crawler,A,identity mapping first,"Possible renamed counterpart: Corpse Ravager JOB-0040. This is a hypothesis, not an established alias. Review its anatomy before sharing art.",,https://www.dndbeyond.com/monsters/17138-carrion-crawler,universal across editions; exclude setting-specific and third-party variants
creatures,Umber Hulk,A,identity mapping first,"Possible renamed counterpart: Tunnel Lurk JOB-0087. This is a hypothesis, not an established alias. Review its anatomy before sharing art.",,https://www.dndbeyond.com/monsters/17205-umber-hulk,universal across editions; exclude setting-specific and third-party variants
creatures,Blue Slaad,B,new universal family candidates,Use generic Monster Manual forms; setting-specific individuals and variants are deferred.,,https://www.dndbeyond.com/monsters/17112-blue-slaad,universal across editions; exclude setting-specific and third-party variants
creatures,Death Slaad,B,new universal family candidates,Use generic Monster Manual forms; setting-specific individuals and variants are deferred.,,https://www.dndbeyond.com/monsters/17113-death-slaad,universal across editions; exclude setting-specific and third-party variants
creatures,Modron Monodrone,B,new universal family candidates,Core bestiary forms only; campaign-specific planar expansions are separate.,,https://www.dndbeyond.com/monsters/5195129-modron-monodrone,universal across editions; exclude setting-specific and third-party variants
creatures,Modron Duodrone,B,new universal family candidates,Core bestiary forms only; campaign-specific planar expansions are separate.,,https://www.dndbeyond.com/monsters/5195128-modron-duodrone,universal across editions; exclude setting-specific and third-party variants
creatures,Modron Tridrone,B,new universal family candidates,Core bestiary forms only; campaign-specific planar expansions are separate.,,https://www.dndbeyond.com/monsters/5195132-modron-tridrone,universal across editions; exclude setting-specific and third-party variants
creatures,Modron Quadrone,B,new universal family candidates,Core bestiary forms only; campaign-specific planar expansions are separate.,,https://www.dndbeyond.com/monsters/5195131-modron-quadrone,universal across editions; exclude setting-specific and third-party variants
creatures,Modron Pentadrone,B,new universal family candidates,Core bestiary forms only; campaign-specific planar expansions are separate.,,https://www.dndbeyond.com/monsters/5195130-modron-pentadrone,universal across editions; exclude setting-specific and third-party variants
creatures,Dragon wyrmling and young silhouettes,B,age variant decision,Ten dragon colors exist as one image each. Do not multiply identical art for every age stat block; add immature silhouettes only where useful.,,https://www.dndbeyond.com/monsters/16811-blue-dragon-wyrmling,universal across editions; exclude setting-specific and third-party variants
races/species,Dragonborn,A,new playable subject candidates,"Current race folder contains only Dwarf, Elf, Gnome, Half-Elf, Halfling and Human.",,https://www.dndbeyond.com/species,universal across editions; exclude setting-specific and third-party variants
races/species,Tiefling,A,new playable subject candidates,"Current race folder contains only Dwarf, Elf, Gnome, Half-Elf, Halfling and Human.",,https://www.dndbeyond.com/species,universal across editions; exclude setting-specific and third-party variants
races/species,Goliath,A,new playable subject candidates,"Current race folder contains only Dwarf, Elf, Gnome, Half-Elf, Halfling and Human.",,https://www.dndbeyond.com/species,universal across editions; exclude setting-specific and third-party variants
races/species,Aasimar,A,new playable subject candidates,"Current race folder contains only Dwarf, Elf, Gnome, Half-Elf, Halfling and Human.",,https://www.dndbeyond.com/species,universal across editions; exclude setting-specific and third-party variants
races/species,Half-Orc,A,reuse or playable variant decision,Creature art already exists. Decide whether it suits playable-character presentation; avoid blindly duplicating it into races.,JOB-0014 Half-Orc,https://www.dndbeyond.com/species,universal across editions; exclude setting-specific and third-party variants
races/species,Orc,A,reuse or playable variant decision,Creature art already exists. Decide whether it suits playable-character presentation; avoid blindly duplicating it into races.,JOB-0022 Orc,https://www.dndbeyond.com/species,universal across editions; exclude setting-specific and third-party variants
classes,Barbarian,A,new class icon candidates,"No corresponding class row. Keep depiction generic rather than tied to a patron, nation, or setting.",,https://www.dndbeyond.com/classes,universal across editions; exclude setting-specific and third-party variants
classes,Monk,A,new class icon candidates,"No corresponding class row. Keep depiction generic rather than tied to a patron, nation, or setting.",,https://www.dndbeyond.com/classes,universal across editions; exclude setting-specific and third-party variants
classes,Sorcerer,A,new class icon candidates,"No corresponding class row. Keep depiction generic rather than tied to a patron, nation, or setting.",,https://www.dndbeyond.com/classes,universal across editions; exclude setting-specific and third-party variants
classes,Warlock,A,new class icon candidates,"No corresponding class row. Keep depiction generic rather than tied to a patron, nation, or setting.",,https://www.dndbeyond.com/classes,universal across editions; exclude setting-specific and third-party variants
classes,Wizard,A,alias review,"Likely existing class-art coverage via Mage, Thief and Invoker respectively; names and compendium rules remain edition-specific.",,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
classes,Rogue,A,alias review,"Likely existing class-art coverage via Mage, Thief and Invoker respectively; names and compendium rules remain edition-specific.",,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
classes,Evoker,A,alias review,"Likely existing class-art coverage via Mage, Thief and Invoker respectively; names and compendium rules remain edition-specific.",,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
weapons,Rapier,A,new silhouette or existing-art mapping,"No exact queue name. Compare against current swords, battle axe, club and war hammer before adding distinct two-handed forms.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
weapons,Greataxe,A,new silhouette or existing-art mapping,"No exact queue name. Compare against current swords, battle axe, club and war hammer before adding distinct two-handed forms.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
weapons,Greatclub,A,new silhouette or existing-art mapping,"No exact queue name. Compare against current swords, battle axe, club and war hammer before adding distinct two-handed forms.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
weapons,Maul,A,new silhouette or existing-art mapping,"No exact queue name. Compare against current swords, battle axe, club and war hammer before adding distinct two-handed forms.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
