job_id,display_name,category,status,priority,evidence,source_url,reference_traits,observation,recommendation,reviewed_image,master_sha256,master_px,capture_px,capture_path,accepted_version,generation_model_record,contact_sheet,tile
JOB-0001,Black Dragon,creatures,WATCHLIST,P2,local_visual_only,,,Generic spiky black dragon; check swept-forward skull horns.,"Check at full size and against intended edition; no automatic retirement for pose, occlusion, costume, or style alone.",C:\Projects\FoundryVTT\DakksUltimateTokens\masters\creatures\black-dragon.png,a9c80dfcd966a8052bf52bb4efa47a87d6820241ddc906cb7ce18d62dc5151f0,1254x1254,1254x1254,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\_captures\creatures\black-dragon.png,2,unreported (Codex built-in),sheets/sheet-01.png,1
JOB-0002,Blue Dragon,creatures,PRIORITY_REVIEW,P1,official_art_viewed,https://www.dndbeyond.com/monsters/16765-adult-blue-dragon,Prominent single nasal horn; library instead emphasizes paired tall horns.,Blue dragon lacks clear single nasal horn; generic spiky dragon.,"Claude should inspect the original with the cited reference or intended-edition source, correct the brief, and decide whether to retire/requeue.",C:\Projects\FoundryVTT\DakksUltimateTokens\masters\creatures\blue-dragon.png,783e99393236529f826f28fff6976fac94eb2fbdb307ca6aeb8197fe933a0641,1254x1254,1254x1254,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\_captures\creatures\blue-dragon.png,1,gpt-image-2 (Codex built-in),sheets/sheet-01.png,2
JOB-0003,Brass Dragon,creatures,WATCHLIST,P2,local_visual_only,,,"Brass dragon generic spiky head, missing characteristic head plate.","Check at full size and against intended edition; no automatic retirement for pose, occlusion, costume, or style alone.",C:\Projects\FoundryVTT\DakksUltimateTokens\masters\creatures\brass-dragon.png,c0c8c2c637aee09a6f724346e8a840c9b47f0b051b68f9a92f692f0e709b37da,1254x1254,1254x1254,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\_captures\creatures\brass-dragon.png,1,gpt-image-2 (Codex built-in),sheets/sheet-01.png,3
JOB-0004,Bronze Dragon,creatures,WATCHLIST,P2,local_visual_only,,,Bronze dragon generic horned silhouette.,"Check at full size and against intended edition; no automatic retirement for pose, occlusion, costume, or style alone.",C:\Projects\FoundryVTT\DakksUltimateTokens\masters\creatures\bronze-dragon.png,1743bd69dae42e1155c983349fe8db23b652a53c382f1f3f4c1b1f5905271b85,1254x1254,1254x1254,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\_captures\creatures\bronze-dragon.png,1,gpt-image-2 (Codex built-in),sheets/sheet-01.png,4
JOB-0005,Bugbear,creatures,SCREENED,,local_visual_only,,,No obvious gross subject mismatch found in contact-sheet screening.,No reroll proposed by this sweep; this is not exhaustive canon certification.,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\creatures\bugbear.png,5baaf6827f4cde94f6a1bde8217b666aa5edc79eaebc6b75cc118340689b596b,1254x1254,1254x1254,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\_captures\creatures\bugbear.png,1,gpt-image-2 (Codex built-in),sheets/sheet-01.png,5
JOB-0006,Chimera,creatures,PRIORITY_REVIEW,P1,official_art_viewed,https://www.dndbeyond.com/monsters/16823-chimera,"Lion-bodied quadruped with distinct lion, goat and dragon heads.","Three heads are present, but the middle head reads as a horned feline/goat hybrid and the torso is a plated dragon biped. DDB art shows lion-bodied quadruped with distinct lion, goat and dragon heads.","Claude should inspect the original with the cited reference or intended-edition source, correct the brief, and decide whether to retire/requeue.",C:\Projects\FoundryVTT\DakksUltimateTokens\masters\creatures\chimera.png,f8b424b5102ea48b35e213301563c4b51ae0fcca3d25f6edfaa9dc06194e750d,1254x1254,1254x1254,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\_captures\creatures\chimera.png,1,gpt-image-2 (Codex built-in),sheets/sheet-01.png,6
JOB-0007,Cloud Giant,creatures,WATCHLIST,P2,local_visual_only,,,Cloud giant looks rock-skinned; distinguish from elemental/stone giant.,"Check at full size and against intended edition; no automatic retirement for pose, occlusion, costume, or style alone.",C:\Projects\FoundryVTT\DakksUltimateTokens\masters\creatures\cloud-giant.png,d2cadafbe84f996b172139cffe31075bc56e27d61161ff25ac166616e2f122c8,1254x1254,1254x1254,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\_captures\creatures\cloud-giant.png,1,gpt-image-2 (Codex built-in),sheets/sheet-01.png,7
JOB-0008,Cryohydra,creatures,SCREENED,,local_visual_only,,,No obvious gross subject mismatch found in contact-sheet screening.,No reroll proposed by this sweep; this is not exhaustive canon certification.,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\creatures\cryohydra.png,5aba4ce4ef5db0c1aa80c6a600171bbb177909edd2fd4ef6d58de29c7b8e5ae2,1254x1254,1254x1254,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\_captures\creatures\cryohydra.png,1,gpt-image-2 (Codex built-in),sheets/sheet-01.png,8
JOB-0009,Fire Giant,creatures,SCREENED,,local_visual_only,,,No obvious gross subject mismatch found in contact-sheet screening.,No reroll proposed by this sweep; this is not exhaustive canon certification.,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\creatures\fire-giant.png,c32ae21fbf78e3909f1b1131bd58f0aac3cb17fd28b378549c9408fe59639e54,1254x1254,1254x1254,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\_captures\creatures\fire-giant.png,2,unreported (Codex built-in),sheets/sheet-01.png,9
JOB-0010,Frost Giant,creatures,SCREENED,,local_visual_only,,,No obvious gross subject mismatch found in contact-sheet screening.,No reroll proposed by this sweep; this is not exhaustive canon certification.,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\creatures\frost-giant.png,48b36de875fa4f35d61150da0a9fe72b7a3c74308ccf7034dc7780c97dd9d2af,1254x1254,1254x1254,C:\Projects\FoundryVTT\DakksUltimateTokens\masters\_captures\creatures\frost-giant.png,1,gpt-image-2 (Codex built-in),sheets/sheet-01.png,10
